,State,County,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Average_House_Price
0,Alabama,Autauga County,55036,2.7,75.4,18.9,0.3,0.9,0.0,27824,13.7,35.3,18.0,23.2,8.1,15.4,86.0,9.6,0.1,0.6,1.3,2.5,25.8,74.1,20.2,5.6,0.1,5.2,165762.73367031896
1,Alabama,Baldwin County,203360,4.4,83.1,9.5,0.8,0.7,0.0,29364,11.8,35.7,18.2,25.6,9.7,10.8,84.7,7.6,0.1,0.8,1.1,5.6,27.0,80.7,12.9,6.3,0.1,5.5,220506.5161600895
2,Alabama,Barbour County,26201,4.2,45.7,47.8,0.2,0.6,0.0,17561,27.2,25.0,16.8,22.6,11.5,24.1,83.4,11.1,0.3,2.2,1.7,1.3,23.4,74.1,19.1,6.5,0.3,12.4,102728.58065623802
3,Alabama,Bibb County,22580,2.4,74.6,22.0,0.4,0.0,0.0,20911,15.2,24.4,17.6,19.7,15.9,22.4,86.4,9.5,0.7,0.3,1.7,1.5,30.0,76.0,17.4,6.3,0.3,8.2,136090.57659066262
4,Alabama,Blount County,57667,9.0,87.4,1.5,0.3,0.1,0.0,22021,15.6,28.5,12.9,23.3,15.8,19.5,86.8,10.2,0.1,0.4,0.4,2.1,35.0,83.9,11.9,4.0,0.1,4.9,149837.83135093778
6,Alabama,Butler County,20126,0.3,52.2,44.7,0.1,1.1,0.0,19004,24.4,26.9,17.3,18.5,11.6,25.7,83.6,12.6,0.0,0.9,0.9,2.0,23.2,79.1,15.3,5.3,0.3,7.6,93359.46624386932
7,Alabama,Calhoun County,115527,3.6,72.7,20.4,0.2,1.0,0.0,23638,18.6,29.0,17.5,23.7,10.4,19.4,85.0,9.2,0.2,1.3,1.1,3.2,24.8,74.9,19.9,5.1,0.1,10.1,107190.90899820962
8,Alabama,Chambers County,33895,2.2,56.2,39.3,0.3,1.0,0.0,22002,18.8,24.3,13.5,23.0,11.6,27.6,87.1,9.7,0.2,0.6,0.5,2.0,23.6,84.5,11.8,3.7,0.0,6.4,89598.10888039805
9,Alabama,Cherokee County,25855,1.6,91.8,5.0,0.5,0.1,0.0,23010,16.1,28.8,14.8,18.1,11.9,26.5,85.0,12.1,0.4,0.3,0.3,2.0,26.5,74.8,17.1,8.1,0.0,5.3,141706.6277697631
10,Alabama,Chilton County,43805,7.7,80.4,9.5,0.4,0.4,0.0,23368,19.4,25.3,14.5,23.7,15.5,21.0,83.2,12.6,0.1,0.6,1.8,1.7,32.5,81.1,14.0,4.5,0.4,6.7,138010.9870031246
12,Alabama,Clay County,13407,3.1,80.2,14.7,0.9,0.0,0.0,21330,19.1,22.2,14.6,18.4,12.9,31.9,87.5,6.0,0.0,2.8,0.6,3.0,30.3,77.8,14.5,7.7,0.0,6.4,109711.29128714075
13,Alabama,Cleburne County,14939,2.4,92.7,2.8,0.3,0.5,0.0,20873,19.1,25.7,11.4,23.2,18.0,21.7,81.8,14.5,0.0,0.9,0.1,2.7,33.2,76.1,15.7,8.2,0.0,7.8,135057.05957736415
14,Alabama,Coffee County,51073,6.7,71.0,17.1,1.0,1.3,0.0,26216,16.1,31.6,17.3,21.4,13.1,16.7,86.6,8.1,0.0,1.0,1.4,2.8,21.7,73.6,20.7,5.6,0.1,6.0,131481.2192364392
15,Alabama,Colbert County,54435,2.4,78.8,15.9,0.7,0.5,0.0,23675,16.8,27.1,15.4,26.0,11.2,20.3,89.1,7.3,0.1,0.7,0.8,2.0,23.1,78.1,16.1,5.5,0.3,6.9,119059.770270343
